id,name,retailer,price,category,ingredients,image,link,similar,gluten,lactose,nut
10,Vive Multipack Orange Zero 6x330ml,aldi,1.65,drinks,,4088600137124_0_L.png,https://groceries.aldi.co.uk/en-GB/p-vive-multipack-orange-zero-6x330ml/4088600137124,,,,
11,Vive Multipack Tropical Blast Zero 6x330ml,aldi,1.65,drinks,,4088600137261_0_L.png,https://groceries.aldi.co.uk/en-GB/p-vive-multipack-tropical-blast-zero-6x330ml/4088600137261,,,,
12,Coca-Cola Original Taste 8 X 330ml,aldi,4.79,drinks,"Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Natural Flavourings including Caffeine",5449000058386_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-coca-cola-original-taste-8-x-330ml/5449000058386,,True,True,True
13,Diet Coke Can Fridge Pack 10 X 330ml,aldi,4.69,drinks,"Carbonated Water, Colour (Caramel E150d), Sweeteners (Aspartame, Acesulfame K), Natural Flavourings including Caffeine, Acids (Phosphoric Acid, Citric Acid)",5449000117090_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-diet-coke-can-fridge-pack-10-x-330ml/5449000117090,,True,True,True
14,Coca-Cola Zero Sugar 10x330ml,aldi,4.69,drinks,"Carbonated Water, Colour (Caramel E150d), Acid (Phosphoric Acid), Sweeteners (Aspartame, Acesulfame K), Natural Flavourings including Caffeine, Acidity Regulator (Sodium Citrates)",5449000131829_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-coca-cola-zero-sugar-10x330ml/5449000131829,,True,True,True
15,Coca-Cola Original Taste 1.7l,aldi,2.25,drinks,"Carbonated Water, Sugar, Colour (Caramel E150d), Acid (Phosphoric Acid), Natural Flavourings Including Caffeine",5449000601971_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-coca-cola-original-taste-17l/5449000601971,,True,True,True
16,Nescafe Gold Blend Instant Coffee 100g,aldi,3.49,drinks,"Soluble Coffee, Roast and Ground Coffee (3%)",7613036069816_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-nescafe-gold-blend-instant-coffee-100g/7613036069816,,True,True,True
17,Nescafé Nescafe Gold Cappuccino Instant Coffee Sachets,aldi,2.10,drinks,"Sugar, Skimmed milk Powder (21%), Coffee (12%) [Instant Coffee (11%), Roast and Ground Coffee], Glucose Syrup, Coconut Oil, LACTOSE, Acidity Regulators (Sodium Bicarbonate, Citric Acid), Salt, Natural Flavouring",7613037037852_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-nescafe-nescafe-gold-cappuccino-instant-coffee-sachets-8x155g/7613037037852,,True,False,True
18,Alcafé House Blend Roast & Ground Coffee 227g,aldi,1.69,drinks,No Ingredients List Needed,4088600259826_0.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-house-blend-roast-ground-coffee-227g/4088600259826,,True,True,True
19,Alcafé Espresso Blend Roast & Ground Coffee 227g,aldi,1.69,drinks,No Ingredients List Needed,4088600259833_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-espresso-blend-roast-ground-coffee-227g/4088600259833,,True,True,True
20,Highland Earl Blended Scotch Whisky Special Reserve 70c,aldi,11.49,drinks,,4088600223810_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-highland-earl-blended-scotch-whisky-special-reserve-70cl/4088600223810,,,,
21,Cocobay An Exotic Blend With Rum & Coconut Flavours 70c,aldi,5.89,drinks,"Fermented - Wine Base, Water, Sugar , Alcohol, Flavour, Rum.",4088600289151_0.jpg,https://groceries.aldi.co.uk/en-GB/p-cocobay-an-exotic-blend-with-rum-coconut-flavours-70cl/4088600289151,,True,True,True
22,Glen Marnoch Speyside Single Malt Scotch Whisky 70cl,aldi,22.99,drinks,,4088600292212_0_L.png,https://groceries.aldi.co.uk/en-GB/p-glen-marnoch-speyside-single-malt-scotch-whisky-70cl/4088600292212,,,,
23,Galahad Premium Lager 4x440ml,aldi,2.49,drinks,,4088600304014_0.jpg,https://groceries.aldi.co.uk/en-GB/p-galahad-premium-lager-4x440ml/4088600304014,,,,
24,Sainte Etienne Premium Lager Beer 440ml,aldi,3.19,drinks,,4088600304120_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sainte-etienne-premium-lager-beer-440ml/4088600304120,,,,
25,Eidyn Premium Scottish Botanical Gin 70cl,aldi,19.99,drinks,,4088600311913_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-eidyn-premium-scottish-botanical-gin-70cl/4088600311913,,,,
26,Haysmith's Spiced Plum & Clementine Gin With Natural To,aldi,1.09,drinks,,4088600321820_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-haysmiths-spiced-plum-clementine-gin-with-natural-tonic-250ml/4088600321820,,,,
27,Sainte Etienne Premium Lager Beer 0% Alcohol Free 500ml,aldi,0.99,drinks,"Water, barley malt, Hop Extract, Flavouring, Acid: Citric Acid.",4088600325637_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-sainte-etienne-premium-lager-beer-0-alcohol-free-500ml/4088600325637,,False,True,True
28,Haysmith's Premium Sloe Gin 29% 70cl,aldi,10.99,drinks,"Sloe Berries, Gin, Caster Sugar, Water",4088600335896_0.jpg,https://groceries.aldi.co.uk/en-GB/p-haysmiths-premium-sloe-gin-29-70cl/4088600335896,,True,True,True
29,Innis & Gunn The Original Single Malt Whisky Cask Matur,aldi,1.65,drinks,,5010327658544_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-innis-gunn-the-original-single-malt-whisky-cask-matured-330ml/5010327658544,,,,
30,Greene King Abbot Rich & Malty Premium Ale 4x500ml,aldi,4.99,drinks,,5010549104614_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-greene-king-abbot-rich-malty-premium-ale-4x500ml/5010549104614,,,,
31,Budweiser Limited Edition Beer Bottles 20 X 300ml,aldi,13.99,drinks,"Water, barley malt, Rice, Hops",5014379004786_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-budweiser-limited-edition-beer-bottles-20-x-300ml/5014379004786,,False,True,True
32,San Miguel Premium Lager Beer Bottle 18 X 330ml,aldi,14.99,drinks,"Water, Malted barley, Hops",5016325845726_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-san-miguel-premium-lager-beer-bottle-18-x-330ml/5016325845726,,False,True,True
33,Glen's Vodka 50cl,aldi,9.38,drinks,,5016840101192_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-glens-vodka-50cl/5016840101192,,,,
34,Williams Bros Brewing Co. Fraoch Heather Ale 500ml,aldi,1.59,drinks,"Water, Malted barley, Malted wheat, Heather (0.5%), Hops, Ginger, Bogmyrtle, Yeast",5022943903311_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-williams-bros-brewing-co-fraoch-heather-ale-500ml/5022943903311,,False,True,True
35,Williams Bros Brewing Co. Joker IPA 500ml,aldi,1.59,drinks,"Water, Malted barley, Malted wheat, Malted rye, oats, Hops, Yeast",5034743200095_0.jpg,https://groceries.aldi.co.uk/en-GB/p-williams-bros-brewing-co-joker-ipa-500ml/5034743200095,,False,True,True
36,Williams Bros Brewing Co. Seven Giraffes Extraordinary,aldi,1.59,drinks,"Water, Malted barley, Malted wheat, Malted rye, Hops, Elderflowers, Yeast",5034743200156_0.jpg,https://groceries.aldi.co.uk/en-GB/p-williams-bros-brewing-co-seven-giraffes-extraordinary-ipa-500ml/5034743200156,,False,True,True
37,Williams Bros Brewing Co. Birds & Bees Golden Summer Al,aldi,1.59,drinks,"Water, Malted barley, Malted wheat, Hops, Elderflowers, Yeast",5034743200491_0.jpg,https://groceries.aldi.co.uk/en-GB/p-williams-bros-brewing-co-birds-bees-golden-summer-ale-500ml/5034743200491,,False,True,True
38,Williams Bros Brewing Co. Caesar Augustus Lager IPA Hyb,aldi,1.59,drinks,"Water, Malted barley, Hops, Yeast",5034743200682_0.jpg,https://groceries.aldi.co.uk/en-GB/p-williams-bros-brewing-co-caesar-augustus-lager-ipa-hybrid-500ml/5034743200682,,False,True,True
39,Sharp's Brewery Sharp's Doom Bar Amber Ale 500ml,aldi,1.65,drinks,,5060031050240_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sharps-brewery-sharps-doom-bar-amber-ale-500ml/5060031050240,,,,
40,Stewart Brewing Hazy IPA 400ml,aldi,1.89,drinks,"Water, Malted barley, wheat, oats, Hops and Yeast",5060143114168_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-stewart-brewing-hazy-ipa-400ml/5060143114168,,False,True,True
41,Innis & Gunn Blood Red Sky 330ml,aldi,1.65,drinks,,5060190560741_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-innis-gunn-blood-red-sky-330ml/5060190560741,,,,
42,Drygate Brewing Co Gladeye IPA Retro India Pale Ale 440,aldi,1.49,drinks,"Water, Malted barley, Yeast , Hops",5060691140022_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-drygate-brewing-co-gladeye-ipa-retro-india-pale-ale-440ml/5060691140022,,False,True,True
43,Drygate Brewing Co Bearface Lager 440ml,aldi,1.49,drinks,"Water, Malted barley, Yeast, Hops",5060691140046_0.jpg,https://groceries.aldi.co.uk/en-GB/p-drygate-brewing-co-bearface-lager-440ml/5060691140046,,False,True,True
44,Tennent's Lager 10 X 440ml,aldi,8.80,drinks,,5391516930376_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-tennents-lager-10-x-440ml/5391516930376,https://www.iceland.co.uk/p/tennents-lager-10-x-440ml/61034.html,,,
45,Corona Lager Beer Bottles 18x330ml,aldi,15.99,drinks,"Water, barley malt, Maize, Hops",7501064196539_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-corona-lager-beer-bottles-18x330ml/7501064196539,,False,True,True
46,Toro Loco Superior 75cl,aldi,3.99,drinks,,4088600134161_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-toro-loco-superior-75cl/4088600134161,,,,
47,Specially Selected Lyme Block Brut Reserve 75cl,aldi,15.99,drinks,,4088600270265_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-lyme-block-brut-reserve-75cl/4088600270265,,,,
48,Beachfront White Grenache 75cl,aldi,4.49,drinks,,4088600273068_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-beachfront-white-grenache-75cl/4088600273068,,,,
49,Specially Selected Prosecco Superiore Millesimato 75cl,aldi,8.99,drinks,"White Wine, Carbon Dioxide, Sugar, potassium metabisulphite, Yeast, sulphit𝐞",4088600309972_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-prosecco-superiore-millesimato-75cl/4088600309972,,True,True,True
50,Costellore Prosecco Magnum 150cl,aldi,9.99,drinks,"sulphite, Carob Dioxide, Yeast",4088600309989_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-costellore-prosecco-magnum-150cl/4088600309989,,True,True,True
51,Philizot Champagne Blanc De Noirs 75cl,aldi,18.99,drinks,,4088600312095_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-philizot-champagne-blanc-de-noirs-75cl/4088600312095,,,,
52,Lago Cerqueira Vinho Verdi 75cl,aldi,3.45,drinks,,4088600312149_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-lago-cerqueira-vinho-verdi-75cl/4088600312149,,,,
53,Fletcher's Vinho Port Porto Fine Ruby 75cl,aldi,6.69,drinks,,4088600313405_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-fletchers-vinho-port-porto-fine-ruby-75cl/4088600313405,,,,
54,Specially Selected Cremant Du Jura 75cl,aldi,8.99,drinks,,4088600319308_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-cremant-du-jura-75cl/4088600319308,,,,
55,Animus Douro 75cl,aldi,4.49,drinks,,5601815231617_0_L.png,https://groceries.aldi.co.uk/en-GB/p-animus-douro-75cl/5601815231617,,,,
56,Rheinbacher Premium Pilsner 0% Alcohol Free 6x330ml,aldi,2.69,drinks,"Water, barley malt, Hop Extract, Acid: Citric Acid; Flavouring.",4088600325712_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-rheinbacher-premium-pilsner-0-alcohol-free-6x330ml/4088600325712,,False,True,True
57,Specially Selected Prosecco Doc 75cl,aldi,6.49,drinks,,4088600094038_0.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-prosecco-doc-75cl/4088600094038,,,,
58,Costellore Prosecco Doc Extra Dry 75cl,aldi,6.49,drinks,,4088600094045_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-costellore-prosecco-doc-extra-dry-75cl/4088600094045,,,,
59,Grapevine Pinot Grigio 75cl,aldi,3.99,drinks,,4088600325231_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-grapevine-pinot-grigio-75cl/4088600325231,,,,
60,Specially Selected Colombian Coffee Pods 10 Pack,aldi,1.99,drinks,,4088600299327_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-colombian-coffee-pods-10-pack/4088600299327,,,,
61,Specially Selected Aromatic & Floral Costa Rican 10x5g,aldi,1.99,drinks,,4088600310381_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-aromatic-floral-costa-rican-10x5g/4088600310381,,,,
62,Sun Quench No Added Sugar Fruity Blasts 8x200ml,aldi,1.39,drinks,,4088600256399_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-no-added-sugar-fruity-blasts-8x200ml/4088600256399,,,,
63,Alcafé Gold Roast Freeze Dried Coffee 200g,aldi,2.39,drinks,,4088600262505_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-gold-roast-freeze-dried-coffee-200g/4088600262505,,,,
64,Alcafé Decaff Gold Roast Freeze Dried Coffee 100g,aldi,1.49,drinks,,4088600262529_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-decaff-gold-roast-freeze-dried-coffee-100g/4088600262529,,,,
65,Sun Quench Orange Super Concentrated Squirty Squash 66m,aldi,1.39,drinks,"Water, Acid: Citric Acid; Orange Fruit From Comminute (10%), Acidity Regulator: Sodium Citrate; Sweetener: Sucralose; Flavouring, Colour: Carotenes; Emulsifier: Gum Arabic; Preservatives: Potassium Sorbate, Sodium metabisulphite, potassium metabisulphite; Coconut Oil.",4088600264073_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-orange-super-concentrated-squirty-squash-66ml/4088600264073,,True,True,True
66,Sun Quench Apple & Blackcurrant Super Concentrated Squi,aldi,1.39,drinks,"Water, Acid: Citric Acid; Colour: Anthocyanins; Apple Juice From Concentrate (3%), Acidity Regulator: Sodium Citrates; Sweetener: Sucralose; Blackcurrant Juice From Concentrate (1.5%), Flavourings, Preservatives: Potassium Sorbate, Sodium metabisulphite.",4088600264080_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-apple-blackcurrant-super-concentrated-squirty-squash-66ml/4088600264080,,True,True,True
67,Sun Quench Summer Fruits Super Concentrated Squirty Squ,aldi,1.39,drinks,"Water, Acid: Citric Acid; Fruit Juice From Concentrate (7%) (Raspberry, Strawberry, Apple, Cherry), Acidity Regulator: Sodium Citrates; Colour: Anthocyanins; Sweetener: Sucralose; Flavourings, Preservatives: Potassium Sorbate, Sodium metabisulphite.",4088600264097_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-summer-fruits-super-concentrated-squirty-squash-66ml/4088600264097,,True,True,True
68,Aqua Vale Still Spring Water 500ml,aldi,0.33,drinks,Spring Water,25298109_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-aqua-vale-still-spring-water-500ml/25298109,,True,True,True
69,Ridge Valley Premium Indian Tonic Water 8x150ml,aldi,2.19,drinks,,4088600222639_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-ridge-valley-premium-indian-tonic-water-8x150ml/4088600222639,,,,
70,Ridge Valley Light Indian Tonic Water 8x150ml,aldi,2.19,drinks,,4088600222646_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-ridge-valley-light-indian-tonic-water-8x150ml/4088600222646,,,,
71,Specially Selected Medium Roast Colombian Instant Coffe,aldi,2.09,drinks,,4088600287270_0.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-medium-roast-colombian-instant-coffee-100g/4088600287270,,,,
72,Specially Selected Medium Roast Costa Rican Instant Cof,aldi,2.09,drinks,,4088600287287_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-medium-roast-costa-rican-instant-coffee-100g/4088600287287,,,,
73,Diplomat Red Label 160 Pack,aldi,1.39,drinks,Black Tea.,4088600289892_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-diplomat-red-label-160-pack/4088600289892,,True,True,True
74,Diplomat Decaf Label Tea Bags 80 Pack,aldi,1.09,drinks,Decaffeinated Black Tea.,4088600290003_0.jpg,https://groceries.aldi.co.uk/en-GB/p-diplomat-decaf-label-tea-bags-80-pack/4088600290003,,True,True,True
75,Alcafé Cappuccino Instant Sachets 8x17g,aldi,0.89,drinks,"Sugar, Skimmed milk Powder (18%), Glucose Syrup, Coffee Extract (11%), Coconut Fat, Whey Permeate (milk), Acidity Regulator: Potassium Carbonates; Stabilisers: Potassium Phosphates, Sodium Phosphates; Maltodextrin, Emulsifier: Mono- And Diacetyl Tartaric Acid Esters Of Mono- And Diglycerides Of Fatty Acids; Flavourings.",4088600290034_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-cappuccino-instant-sachets-8x17g/4088600290034,,True,False,True
76,Alcafé Cappuccino Unsweetened Instant Sachets 8x14.2g,aldi,0.89,drinks,"Skimmed milk Powder (30%), Lactose (milk), Glucose Syrup, Coffee Extract (17%), Coconut Fat, Whey Permeate (milk), Acidity Regulator: Potassium Carbonates; Stabiliser: Potassium Phosphates, Sodium Phosphates; Flavourings, Maltodextrin, Emulsifier: Mono- And Diacetyl Tartaric Acid Esters Of Mono- And Diglycerides Of Fatty Acids.",4088600290041_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-cappuccino-unsweetened-instant-sachets-8x142g/4088600290041,,True,False,True
77,Alcafé Latte Instant Sachets 156g,aldi,0.79,drinks,"Skimmed milk Powder (36%), Lactose (milk), Glucose Syrup, Coffee Extract (10%), Coconut Fat, Whey Permeate (milk), Acidity Regulator: Potassium Carbonates; Stabilisers: Potassium Phosphates, Sodium Phosphates; Maltodextrin, Emulsifier: Mono- And Diacetyl Tartaric Acid Esters Of Mono- And Diglycerides Of Fatty Acids; Flavouring.",4088600290126_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-latte-instant-sachets-156g/4088600290126,,True,False,True
78,Alcafé Double Choc Mocha 8x23g,aldi,0.85,drinks,"Sugar, Skimmed milk Powder (18%), Coconut Fat, Glucose Syrup, Cocoa Powder (10%), Coffee Extract (6%), Lactose (milk), Acidity Regulator: Potassium Carbonates; Flavouring, Stabiliser: Sodium Phosphates; Maltodextrin.",4088600290140_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-double-choc-mocha-8x23g/4088600290140,,True,False,True
79,Alcafé Vanilla Latte 8x18.5g,aldi,0.85,drinks,"Sugar, Skimmed milk Powder (20%), Glucose Syrup, Coffee Extract (7.5%), Coconut Fat, Whey Permeate (milk), Flavouring, Acidity Regulator: Potassium Carbonates; Stabilisers: Potassium Phosphates, Sodium Phosphates; Maltodextrin, Emulsifier: Mono- And Diacetyl Tartaric Acid Esters Of Mono- And Diglycerides Of Fatty Acids.",4088600290157_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-vanilla-latte-8x185g/4088600290157,,True,False,True
80,Alcafé Caramel Latte Instant Sachets 8x17g,aldi,0.85,drinks,"Sugar, Skimmed milk Powder (20%), Glucose Syrup, Coconut Fat, Coffee Extract (6%), Flavouring, Whey Permeate (milk), Acidity Regulator: Potassium Carbonates; Stabilisers: Potassium Phosphates, Sodium Phosphates; Maltodextrin, Emulsifier: Mono- And Diacetyl Tartaric Acid Esters Of Mono- And Diglycerides Of Fatty Acids.",4088600290164_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-alcafe-caramel-latte-instant-sachets-8x17g/4088600290164,,True,False,True
81,The Juice Company Apple Juice 6x200ml,aldi,1.49,drinks,Apple Juice From Concentrate (100%).,4088600124063_0.jpg,https://groceries.aldi.co.uk/en-GB/p-the-juice-company-apple-juice-6x200ml/4088600124063,,True,True,True
82,The Juice Company Smooth Orange Juice 6x200ml,aldi,1.49,drinks,Orange Juice From Concentrate (100%).,4088600124070_0.jpg,https://groceries.aldi.co.uk/en-GB/p-the-juice-company-smooth-orange-juice-6x200ml/4088600124070,,True,True,True
83,Strathrowan Sparkling Scottish Mountain Water 500ml,aldi,1.09,drinks,"Water, Carbon Dioxide.",4088600184562_ab9a4354fcd948c89f954296fcc51456_L.jpg,https://groceries.aldi.co.uk/en-GB/p-strathrowan-sparkling-scottish-mountain-water-500ml/4088600184562,,True,True,True
84,Hendry's Scottish Lager 440ml,aldi,3.29,drinks,,4088600027609_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-hendrys-scottish-lager-440ml/4088600027609,,,,
85,Specially Selected French Brandy Xo 70cl,aldi,15.49,drinks,,4088600064000_0.jpg,https://groceries.aldi.co.uk/en-GB/p-specially-selected-french-brandy-xo-70cl/4088600064000,,,,
86,Ballycastle Classic Country Cream 70cl,aldi,4.69,drinks,,4088600141770_9516949c2dc64d0da69af425beaad4d3_L.jpg,https://groceries.aldi.co.uk/en-GB/p-ballycastle-classic-country-cream-70cl/4088600141770,,,,
87,Mackenzies Scottish Blend Tea Bags 250g,aldi,0.99,drinks,,4088600069616_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-mackenzies-scottish-blend-tea-bags-250g/4088600069616,,,,
88,Sun Quench No Added Sugar Fruity Blasts Orange 8x200ml,aldi,1.39,drinks,,4088600006963_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-no-added-sugar-fruity-blasts-orange-8x200ml/4088600006963,,,,
89,Sun Quench No Added Sugar Fruity Blasts Apple & Blackcu,aldi,1.39,drinks,,4088600006970_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-no-added-sugar-fruity-blasts-apple-blackcurrant-8x200ml/4088600006970,,,,
90,Sun Quench No Added Sugar Fruity Blasts Summer Fruits 8,aldi,1.39,drinks,,4088600006994_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-sun-quench-no-added-sugar-fruity-blasts-summer-fruits-8x200ml/4088600006994,,,,
91,Explosade Orange Flavour Xplosade Sport 4x500ml,aldi,1.25,drinks,,4088600027906_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-explosade-orange-flavour-xplosade-sport-4x500ml/4088600027906,,,,
92,Steinhauser German Lager 6x330ml,aldi,4.49,drinks,,4053400053233_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-steinhauser-german-lager-6x330ml/4053400053233,,,,
93,Highland Earl Whisky 70cl,aldi,11.49,drinks,,4088600046037_0.jpg,https://groceries.aldi.co.uk/en-GB/p-highland-earl-whisky-70cl/4088600046037,,,,
94,Saint Gérmont Premium French Vodka 70cl,aldi,14.99,drinks,,4088600081090_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-saint-germont-premium-french-vodka-70cl/4088600081090,,,,
95,Orchard Premium Irish Apple Cider 568ml,aldi,0.99,drinks,,4088600106908_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-orchard-premium-irish-apple-cider-568ml/4088600106908,,,,
96,Sainte Etienne Lager 500ml,aldi,1.19,drinks,,4088600135182_0.jpg,https://groceries.aldi.co.uk/en-GB/p-sainte-etienne-lager-500ml/4088600135182,,,,
97,Greyson's Premium Dry Gin & Tonic 250ml,aldi,0.95,drinks,,4088600138220_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-greysons-premium-dry-gin-tonic-250ml/4088600138220,,,,
98,Greyson's London Dry Gin & Tonic 250ml,aldi,0.95,drinks,,4088600138237_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-greysons-london-dry-gin-tonic-250ml/4088600138237,,,,
99,Greyson's Dry Gin & Diet Tonic 250ml,aldi,0.95,drinks,,4088600138244_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-greysons-dry-gin-diet-tonic-250ml/4088600138244,,,,
100,Napoleon Brandy 70cl,aldi,10.79,drinks,,4088600141121_0_L.jpg,https://groceries.aldi.co.uk/en-GB/p-napoleon-brandy-70cl/4088600141121,,,,
